Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1498591441339284	414.67	680.57	3.81	573.10	904.68	3.75
1498591441342538	417.13	679.09	3.81	575.96	904.52	3.75
1498591441345894	414.11	678.85	3.81	573.06	903.36	3.75
1498591441349254	415.08	679.62	3.80	574.19	902.44	3.74
1498591441352609	416.18	678.63	3.80	573.54	905.36	3.75
1498591441355872	415.53	681.33	3.81	576.80	904.58	3.75
1498591441359220	411.07	681.46	3.81	574.60	904.58	3.74
1498591441362575	416.98	678.77	3.80	573.94	901.56	3.75
1498591441365934	420.01	679.97	3.81	578.23	905.03	3.75
1498591441369188	417.75	681.65	3.81	574.70	903.93	3.75
1498591441372547	415.10	678.31	3.80	575.84	900.68	3.74
1498591441375906	413.25	682.49	3.81	575.51	902.09	3.75
1498591441379265	411.49	680.74	3.80	576.12	905.69	3.75
1498591441382551	416.47	678.69	3.80	573.64	906.70	3.75
1498591441385869	416.06	680.80	3.81	575.52	901.08	3.75
1498591441389229	413.72	675.93	3.81	574.58	900.92	3.75
1498591441392587	418.37	682.43	3.81	574.62	900.05	3.75
1498591441395867	417.70	676.33	3.80	573.59	904.65	3.75
1498591441399222	414.57	680.34	3.81	574.65	904.00	3.75
1498591441402556	413.06	680.47	3.80	574.17	904.56	3.75
1498591441405902	411.95	682.82	3.80	575.73	903.73	3.75
1498591441409275	417.24	681.22	3.81	575.21	907.80	3.75
1498591441412526	414.01	678.57	3.80	575.73	900.39	3.74
1498591441415884	413.84	679.11	3.81	574.80	905.34	3.75
1498591441419227	413.71	682.28	3.80	576.54	903.35	3.75
1498591441422586	413.60	679.46	3.80	574.61	901.72	3.75
1498591441425874	419.23	680.77	3.80	575.07	904.76	3.75
1498591441429200	416.25	681.64	3.81	573.66	901.76	3.75
1498591441432569	415.90	680.09	3.80	574.06	902.96	3.75
1498591441435924	414.86	681.46	3.80	572.75	905.71	3.75
1498591441439199	412.07	678.23	3.80	575.13	904.48	3.74
1498591441442543	411.04	680.79	3.80	574.33	903.58	3.75
1498591441445892	411.70	680.32	3.80	576.89	904.90	3.75
1498591441449254	416.29	678.58	3.81	575.68	904.98	3.75
1498591441452502	414.18	679.68	3.80	575.58	902.97	3.75
1498591441455860	414.08	679.32	3.81	573.88	907.29	3.75
1498591441459215	418.90	680.78	3.81	575.24	902.25	3.75
1498591441462580	417.05	679.93	3.81	575.71	906.23	3.75
